name,width,length,height,center x,center y,center z
table,0.5668920187792461,1.1615540125377373,0.04,0.910987668837578,-0.7428691662834295,0.2515727277158033
collision5,0.015,0.015,0.015,0.8289088650233506,-0.7370972983578321,0.2886785332628505
collision11,0.015,0.015,0.015,0.8609905326859602,-0.6628833632221616,0.3844907322163634
collision14,0.015,0.015,0.015,0.8829505817442442,-0.6770653694071394,0.3698233555518264
collision1,0.015,0.015,0.015,0.8298993683721094,-0.5673954679023463,0.4776028820509042
collision8,0.015,0.015,0.015,0.8790634531836811,-0.6438016821860361,0.3949022853475702
collision10,0.015,0.015,0.015,0.8995026451382697,-0.6575442701680301,0.379436393032888
collision13,0.015,0.015,0.015,0.9229537523806852,-0.6735693636338309,0.3679553769660836
collision7,0.015,0.015,0.015,0.927922358967764,-0.6508785299967832,0.4078476736111427
collision9,0.015,0.015,0.015,0.9382314836752382,-0.6537462791288684,0.3772428439037801
collision12,0.015,0.015,0.015,0.9635408111650444,-0.6709470575246459,0.3675571910733459
collision6,0.015,0.015,0.015,0.9681838340685416,-0.6472626589343278,0.4055341647288321
collision4,0.015,0.015,0.015,1.005301167264461,-0.5796640064346924,0.4741044466804363
collision50,0.05,0.05,0.05,0.6051125386790762,-0.3363706412351577,0.7083609394686644
collision49,0.05,0.05,0.05,1.178945720473058,-0.3237677299548885,0.7422298009238333
collision140,0.05,0.05,0.05,0.635653084968623,-1.1614316332661248,-0.1177893099720746
collision100,0.05,0.05,0.05,1.209451291833743,-1.1758343477611255,-0.108417453905617
base_mid,0.16721885443731,0.4175151029775562,0.04,0.0326156107983577,-0.3724015707797717,0.0831843070281848
collision19,0.015,0.015,0.015,0.039185042544268,-0.569350963412312,0.1773112303599614
collision3,0.015,0.015,0.015,0.049981994302047,-0.4639041982668229,0.2803060822561523
collision18,0.015,0.015,0.015,0.0311435873633386,-0.2869794955748838,-0.1044913018085082
collision20,0.015,0.015,0.015,0.0225264233844104,-0.1786937057124333,-0.000274183139522
collision2,0.015,0.015,0.015,0.036477257806065,-0.2862031733591093,-0.099885055351871
base_bottom,0.4446579756347723,0.2461019009363474,0.04,-0.0168411266545396,-0.5324491681753178,0.2237386468845386
motor,0.0799605036762104,0.2429467795202039,0.04,0.3018615784879593,-0.6882139168982901,0.3469013567100523
base_mid2,0.36301950003929934,0.302959285790148,0.01,0.08992937825766013,-0.4748721222425456,0.16339378868889967
